"","age","black","south","kww","iq","married","exper","region","educ","wage"
"69",28,0,0,37,119,0,7,"2",15,26.7493580209154
"70",25,0,0,35,108,0,7,"2",12,31.1744411954329
"71",31,0,0,35,102.449781659389,1,17,"2",8,23.9153154700255
"72",26,0,0,26,72,1,8,"2",12,27.0974060619149
"73",25,0,0,34,86,1,7,"2",12,28.6387214633269
"74",25,0,0,42,123,1,3,"2",16,34.8039962361142
"75",28,0,0,38,103,1,6,"2",16,39.1793551773534
"76",27,0,0,42,101,1,4,"2",17,50.3166441969438
"77",24,0,0,30,102.449781659389,1,6,"2",12,37.6877613735775
"78",29,0,0,41,105,0,9,"2",14,29.8817176610683
"79",24,0,0,34,102.449781659389,0,6,"2",12,14.0707583072949
"80",24,0,0,29,102.449781659389,0,6,"2",12,12.4300011450144
"81",26,0,0,33,95,1,8,"2",12,24.8600023373785
"82",31,0,0,41,98,1,14,"2",11,27.3460034291605
"83",25,0,0,27,102.449781659389,1,7,"2",12,56.8299720981712
"84",31,0,1,39,115,0,7,"2",18,40.273204482882
"85",28,1,0,20,60,0,10,"2",12,15.562363610565
"86",25,0,0,36,135,1,1,"2",18,36.3453134846397
"87",25,0,0,35,132,1,3,"2",16,31.0750037377985
"88",24,0,0,33,106,1,4,"2",14,29.2353645691475
"89",26,0,0,28,113,1,6,"2",14,18.645002051816
"90",29,0,1,43,102,0,7,"2",16,40.6212314954588
"91",30,0,0,32,91,1,10,"2",14,43.0078059283465
"92",28,0,1,30,104,1,7,"2",15,17.4019980849123
"93",24,0,1,22,102.449781659389,1,5,"2",13,10.0434389553074
"94",32,0,1,43,97,1,13,"2",13,25.1085980954804
"95",30,0,0,41,125,1,7,"2",17,40.5715205157319
"96",26,0,0,41,123,0,2,"2",18,31.0750037377985
"97",32,0,0,35,128,0,8,"2",18,38.2346833385792
"98",27,0,0,38,133,0,4,"2",17,24.8600023373785
"99",27,0,0,32,114,1,4,"2",17,30.7766825121307
"100",30,0,0,40,103,1,12,"2",12,32.3180070151516
"101",28,0,0,36,130,1,4,"2",18,38.2346833385792
"102",26,0,0,33,97,1,8,"2",12,25.456640436375
"103",31,0,0,46,132,1,7,"2",18,31.0750037377985
"104",31,0,0,41,98,1,11,"2",14,55.2389176485168
"105",28,0,0,41,108,1,9,"2",13,35.8481280676297
"106",32,0,0,44,107,1,12,"2",14,57.3768903720244
"107",34,0,0,40,129,0,10,"2",18,41.1184487881937
"108",34,0,0,56,102.449781659389,1,12,"2",16,45.8915533389607
"109",28,0,0,42,132,1,5,"2",17,53.4987161437274
"110",33,0,0,37,101,1,15,"2",12,31.0750037377985
"111",27,0,0,24,92,1,8,"2",13,22.8712011465031
"112",24,1,0,39,108,0,4,"2",14,44.7480046367455
"113",29,0,0,33.540668241647,132,1,5,"2",18,33.9090400484146
"114",24,0,0,20,102.449781659389,1,6,"2",12,20.4349219783778
"115",27,0,0,35,106,1,8,"2",13,31.0750037377985
"116",32,0,0,46,123,1,8,"2",18,49.9685897191072
"117",24,0,0,24,109,1,7,"2",11,36.0469989975332
"118",27,0,0,35,103,1,6,"2",15,37.2900041746565
"119",29,0,0,33,108,1,9,"2",14,26.3018808547367
"120",29,0,0,47,122,1,6,"2",17,48.3278449767892
"121",26,0,0,36,109,1,8,"2",12,23.467842309924
"122",24,0,0,35,102,0,6,"2",12,16.1590034767987
"123",34,0,0,44,109,1,16,"2",12,43.5049964376483
"124",34,0,0,40,100,1,15,"2",13,31.0750037377985
"125",26,0,0,29,93,1,8,"2",12,16.7556435350138
"126",27,0,0,37,115,1,5,"2",16,23.9153154700255
"127",29,0,0,33.540668241647,102.449781659389,0,14,"2",9,32.3180070151516
"128",25,0,0,39,102.449781659389,0,3,"2",16,19.0427556992985
"129",30,0,0,50,125,1,6,"2",18,47.8306310311519
"130",29,0,0,31,106,0,7,"2",16,30.5778002599
"131",28,0,0,43,113,1,8,"2",14,34.90344755405
"132",31,0,0,41,122,0,11,"2",14,31.5722064181954
"133",28,0,0,35,102.449781659389,0,10,"2",12,9.94400065486735
"134",27,0,0,43,116,1,9,"2",12,40.6212314954588
"135",26,0,0,39,116,1,6,"2",14,28.6884451313709
"136",26,0,0,34,105,1,3,"2",17,23.1695178900597
"137",29,0,0,39,102.449781659389,1,7,"2",16,45.9412760904003
"138",31,0,1,38,112,1,9,"2",16,39.4279596071032
"139",28,0,0,32,113,1,8,"2",14,31.5722064181954
"140",25,0,0,22,102.449781659389,0,7,"2",12,28.3404001975114
"141",29,0,0,37,94,1,7,"2",16,35.0526060411907
"142",28,0,0,40,103,1,8,"2",14,31.5722064181954
"143",30,0,0,36,102,1,12,"2",12,34.50567741809
"144",34,0,0,47,109,1,15,"2",13,30.5778002599
"145",26,0,0,34,130,0,4,"2",16,22.970638001449
"146",34,0,0,45,105,1,16,"2",12,43.0078059283465
"147",33,0,1,46,134,1,9,"2",18,36.6436329534582
"148",25,0,0,39,102.449781659389,1,7,"2",12,69.6079926048075
"149",31,0,0,43,105,1,13,"2",12,40.1737559742638
"150",26,0,0,36,104,1,4,"2",16,32.5168870033661
"151",25,0,0,35,112,1,7,"2",12,14.9160012497365
"152",30,0,0,37,115,0,8,"2",16,28.6884451313709
"153",24,0,0,44,102.449781659389,0,2,"2",16,13.1758027390948
"154",31,0,0,33,117,1,7,"2",18,29.5336836846123
"155",26,0,0,29,114,1,3,"2",17,16.1590034767987
"156",24,0,0,37,118,0,2,"2",16,19.1421984940343
"157",25,0,0,32,107,1,1,"2",18,49.7200047694565
"158",28,0,0,49,120,0,4,"2",18,23.1197996780624
"159",28,0,0,43,131,0,6,"2",16,21.8768021688112
"160",27,0,0,40,124,0,5,"2",16,31.0750037377985
"161",27,0,0,36,121,1,4,"2",17,14.1702000717664
"162",27,0,0,35,110,1,7,"2",14,32.3180070151516
"163",25,0,0,34,103,1,6,"2",13,40.1737559742638
"164",24,0,0,26,102.449781659389,1,6,"2",12,24.8600023373785
"165",26,0,0,45,115,1,4,"2",16,41.3173294658343
"166",31,0,0,33,96,1,13,"2",12,24.8600023373785
"167",32,0,0,48,123,1,9,"2",17,34.4559576199494
"168",27,0,0,37,101,1,9,"2",12,54.6920069624905
"169",25,0,0,34,98,1,7,"2",12,37.9363608172051
"170",27,0,0,28,102.449781659389,1,9,"1",12,39.5274090012745
"171",25,0,0,31,108,0,3,"1",16,16.5567628488871
"172",30,0,0,39,138,1,6,"1",18,20.3354822600569
"173",27,0,0,37,121,1,5,"1",16,43.0078059283465
"174",31,0,0,34,96,1,13,"1",12,44.1513669736094
"175",34,0,0,47,89,1,16,"1",12,33.4615641236735
"176",33,0,0,43,109,0,15,"1",12,34.8039962361142
"177",33,0,1,44,133,0,9,"1",18,12.4300011450144
"178",27,0,0,32,84,0,10,"1",11,31.0750037377985
"179",31,0,0,37,102.449781659389,0,12,"1",13,20.733241619213
"180",28,0,0,51,98,1,9,"1",13,28.6387214633269
"181",26,1,0,27,85,0,8,"1",12,30.4783620037163
"182",31,0,0,33.540668241647,105,1,13,"1",12,34.8039962361142
"183",24,0,0,20,93,0,6,"1",12,22.374002275758
"184",28,0,0,38,115,1,6,"1",16,24.8600023373785
"185",25,0,0,36,102.449781659389,1,7,"1",12,25.5560799318088
"186",25,0,0,45,146,0,3,"1",16,12.4300011450144
"187",24,0,0,32,102.449781659389,0,6,"1",12,15.6617983969033
"188",29,0,0,32,82,1,11,"1",12,18.645002051816
"189",34,0,0,45,120,1,13,"1",15,22.722039755346
"190",27,1,0,26,102.449781659389,0,9,"1",12,13.6730016885379
"191",28,0,0,38,122,1,10,"1",12,47.2837125304088
"192",32,0,0,49,102.449781659389,1,10,"1",16,55.4377991594228
"193",25,0,0,31,128,0,3,"1",16,14.3690795763699
"194",25,0,0,34,110,1,3,"1",16,24.8600023373785
"195",32,0,0,46,114,1,8,"1",18,36.0967253583507
"196",29,0,0,48,117,1,5,"1",18,62.8958068979161
"197",26,1,0,40,109,0,3,"1",17,30.4783620037163
"198",28,0,0,35,91,0,10,"1",12,27.0974060619149
"199",28,0,0,32,107,1,9,"1",13,13.8221608316518
"200",34,0,0,55,114,1,10,"1",18,71.6962562718153
"201",27,0,0,40,126,1,5,"1",16,49.4714062107798
"202",29,0,0,45,82,1,11,"1",12,34.8039962361142
"203",28,0,0,45,119,1,6,"1",16,28.6884451313709
"204",31,0,0,37,104,1,9,"1",16,42.6597499013477
"205",28,0,0,35,97,1,10,"1",12,34.1079187193689
"206",31,0,0,49,115,1,10,"1",15,41.367046885465
"207",33,0,0,45,83,1,14,"1",13,31.4727607992855
"208",32,0,0,45,97,1,14,"1",12,34.257075066998
"209",30,0,0,43,119,1,10,"1",14,38.2346833385792
"210",27,0,0,27,105,0,6,"1",15,19.1421984940343
"211",24,0,0,29,102.449781659389,0,6,"1",12,22.374002275758
"212",27,0,0,41,114,1,9,"1",12,30.5778002599
"213",34,0,0,47,93,1,16,"1",12,33.9090400484146
"214",32,0,0,28,73,0,16,"1",10,33.3123925487994
"215",33,0,0,48,96,1,16,"1",11,39.7760027709885
"216",34,0,0,48,102.449781659389,1,14,"1",14,25.1085980954804
"217",30,0,0,48,117,0,6,"1",18,51.0127208451096
"218",25,0,0,30,113,0,4,"1",15,38.2346833385792
"219",32,0,1,38,106,1,16,"1",10,14.4187991928914
"220",28,0,0,37,104,1,9,"1",13,26.3018808547367
"221",29,0,0,33.540668241647,102.449781659389,1,7,"1",16,57.3768903720244
"222",29,0,0,39,80,1,13,"1",10,27.296276579315
"223",26,0,0,30,104,1,8,"1",12,23.6170003613708
"224",26,0,0,36,102,1,8,"1",12,22.374002275758
"225",27,0,0,43,114,0,4,"1",17,43.5049964376483
"226",25,0,0,33,93,0,4,"1",15,9.94400065486735
"227",26,0,0,36,122,0,7,"1",13,14.9160012497365
"228",25,0,0,28,117,0,3,"1",16,22.970638001449
"229",30,0,0,38,96,1,12,"1",12,19.1421984940343
"230",32,0,0,51,95,1,11,"1",15,63.7410355124413
"231",25,0,0,29,117,0,3,"1",16,29.2353645691475
"232",27,0,0,24,105,0,9,"1",12,29.8320025562927
"233",30,0,0,43,102.449781659389,1,8,"1",16,24.8600023373785
"234",33,1,0,18,94,1,15,"1",12,21.8768021688112
"235",26,0,1,43,139,0,2,"2",18,23.2192433727036
"236",29,0,0,41,91,1,6,"2",17,46.1898841887041
"237",27,0,0,37,96,1,5,"2",16,27.6443217159565
"238",24,0,0,32,114,0,5,"2",13,21.7773646486804
"239",29,1,0,31,54,1,11,"2",12,29.8320025562927
"240",26,1,0,37,69,1,8,"2",12,28.5890021839181
"241",26,1,0,17,67,0,8,"2",12,19.3410767939842
"242",34,0,0,37,110,1,16,"2",12,39.5274090012745
"243",27,0,0,41,125,1,3,"2",18,23.4181204289917
"244",26,0,0,38,124,0,3,"2",17,10.0434389553074
"245",24,0,0,35,102.449781659389,0,1,"2",17,9.94400065486735
"246",24,0,0,35,113,0,1,"2",17,17.4019980849123
"247",24,0,0,40,100,0,4,"2",14,18.645002051816
"248",25,0,0,37,97,1,3,"2",16,23.9153154700255
"249",31,0,0,44,125,0,7,"2",18,47.8306310311519
"250",27,0,0,42,106,0,6,"2",15,21.0315634094208
"251",27,0,0,28,101,0,6,"2",15,24.8600023373785
"252",30,0,0,37,102.449781659389,1,15,"2",9,22.374002275758
"253",28,0,0,27,102.449781659389,1,14,"2",8,23.6667156683325
"254",24,0,0,21,102.449781659389,0,6,"2",12,6.76191993895966
"255",32,0,0,39,91,1,14,"2",12,28.5890021839181
"256",33,0,0,28,86,1,15,"2",12,28.6884451313709
"257",31,0,0,32,110,1,13,"2",12,15.413199509025
"258",30,0,0,38,102.449781659389,1,15,"2",9,34.8039962361142
"259",32,0,0,47,92,1,12,"1",14,65.729844740283
"260",34,0,0,41,85,1,18,"1",10,27.3957163620723
"261",30,0,0,36,120,1,7,"1",17,43.8033291412746
"262",25,0,0,27,102.449781659389,1,7,"1",12,37.787199657817
"263",32,0,0,52,102.449781659389,1,14,"1",12,35.2017640960338
"264",26,0,0,24,102.449781659389,1,8,"1",12,21.1310009593587
"265",26,0,0,35,107,0,8,"1",12,21.2304429670815
"266",24,0,0,43,116,0,2,"1",16,28.6387214633269
"267",32,0,0,34,102.449781659389,0,17,"1",9,19.8880013476145
"268",31,0,0,30,102.449781659389,1,13,"1",12,24.8600023373785
"269",28,0,0,29,102.449781659389,1,10,"1",12,26.4013234951007
"270",28,0,0,43,121,1,6,"1",16,33.4615641236735
"271",27,0,1,41,112,0,5,"1",16,28.6884451313709
"272",24,0,0,39,102.449781659389,0,2,"1",16,16.1590034767987
"273",29,0,0,40,102.449781659389,1,12,"1",11,24.8600023373785
"274",25,0,0,43,100,1,7,"1",12,38.2843970609872
"275",26,0,0,37,112,1,8,"1",12,24.8600023373785
"276",28,0,0,41,108,1,6,"1",16,19.4405200293076
"277",34,0,0,42,90,1,16,"1",12,40.273204482882
"278",34,1,0,39,86,1,19,"2",9,26.9979547923841
"279",34,1,0,37,102.449781659389,0,19,"2",9,29.4839571284834
"280",25,0,0,40,127,0,2,"2",17,42.9580829652045
"281",28,1,0,32,86,1,12,"2",10,34.8039962361142
"282",25,0,0,27,113,1,7,"2",12,25.3572009399533
"283",34,0,0,51,111,0,15,"2",13,30.5778002599
"284",29,0,0,41,113,1,9,"2",14,37.8369269334458
"285",31,0,0,32,81,1,15,"2",10,24.5119574828035
"286",24,0,0,34,111,1,2,"2",16,22.1254034077875
"287",25,0,0,20,102.449781659389,1,7,"2",12,21.1310009593587
"288",24,0,0,24,112,0,2,"2",16,37.2900041746565
"289",24,0,0,30,114,1,2,"2",16,34.8039962361142
"290",24,0,0,33,102.449781659389,1,6,"2",12,21.7773646486804
"291",29,0,0,30,111,1,11,"2",12,30.2297589323757
"292",24,0,0,32,106,1,5,"2",13,22.374002275758
"293",26,0,0,6,102.449781659389,1,17,"2",3,15.562363610565
"294",33,1,0,33.540668241647,102.449781659389,1,20,"2",7,12.4300011450144
"295",33,0,0,26,79,1,13,"2",14,24.8600023373785
"296",26,0,0,28,98,0,8,"2",12,18.1478040251086
"297",26,0,0,28,105,1,8,"2",12,40.4223667876428
"298",25,0,0,33,102.449781659389,0,7,"2",12,16.2087167760517
"299",29,0,0,29,105,1,11,"2",12,26.0532823758419
"300",28,0,0,44,118,1,9,"2",13,40.5217930814713
"301",28,0,0,35,100,1,10,"2",12,37.2900041746565
"302",24,0,0,36,102.449781659389,1,1,"2",17,26.1029975953804
"303",32,0,0,38,90,1,14,"2",12,55.9350072648674
"304",28,0,0,34,95,0,10,"2",12,31.0750037377985
"305",25,0,0,24,112,1,5,"2",14,35.5497918806588
"306",31,0,0,32,96,1,13,"2",12,29.3845168538955
"307",27,0,0,37,127,0,4,"2",17,20.0868779488733
"308",28,0,0,39,120,1,10,"1",12,33.5610040153668
"309",25,0,0,41,123,0,7,"1",12,22.0756834447582
"310",24,0,0,34,102.449781659389,1,6,"1",12,24.2633561355479
"311",34,0,0,42,102.449781659389,1,19,"1",9,34.5554030524216
"312",25,0,1,25,98,1,7,"1",12,34.8039962361142
"313",24,0,1,24,102.449781659389,1,6,"1",12,16.1590034767987
"314",25,0,0,30,102.449781659389,1,10,"1",9,27.6443217159565
"315",26,0,0,25,114,0,8,"2",12,16.1590034767987
"316",26,0,0,32,103,1,7,"2",13,33.2129607647973
"317",31,0,0,40,121,1,7,"2",18,119.526871099588
"318",25,0,0,38,117,0,3,"2",16,37.6877613735775
"319",34,0,0,44,90,1,12,"2",16,49.0239150589806
"320",25,0,0,32,125,1,7,"2",12,28.6884451313709
"321",29,0,0,39,104,1,6,"2",17,14.2199231323296
"322",28,0,1,40,106,0,8,"2",14,11.4853189788489
"323",25,0,0,33,102.449781659389,1,7,"2",12,25.506360373974
"324",28,0,0,36,122,0,7,"2",15,30.5778002599
"325",25,0,0,43,120,1,4,"2",15,34.8039962361142
"326",33,0,0,41,112,1,9,"2",18,35.500074138995
"327",30,0,0,31,102.449781659389,1,15,"2",9,34.8537196624508
"328",24,1,0,29,102.449781659389,1,6,"2",12,22.970638001449
"329",28,0,0,34,109,0,4,"2",18,43.156949982563
"330",29,0,0,46,128,0,7,"2",16,45.5932361376261
"331",27,0,0,35,97,1,9,"2",12,52.9518119975287
"332",29,0,1,35,96,0,11,"1",12,19.8880013476145
"333",27,0,0,41,103,1,9,"1",12,31.8208013811298
"334",24,0,0,16,102.449781659389,0,5,"1",13,14.1702000717664
"335",27,0,1,38,127,0,4,"1",17,31.8705176955183
"336",32,0,0,21,102.449781659389,1,13,"2",13,19.3410767939842
"337",25,0,0,29,102.449781659389,1,7,"2",12,50.2171962866072
"338",24,0,0,44,97,1,6,"2",12,40.6212314954588
"339",27,0,0,43,120,1,4,"2",17,48.4770113918929
"340",29,1,0,21,78,0,11,"2",12,37.2900041746565
"341",24,0,0,46,118,1,3,"2",15,23.0203647537823
"342",28,0,0,33.540668241647,102.449781659389,1,10,"2",12,68.9616501294228
"343",25,0,0,41,102.449781659389,0,7,"2",12,28.6884451313709
"344",27,0,0,27,89,0,9,"2",12,19.937718144236
"345",26,0,0,24,102.449781659389,1,10,"2",10,15.9104006602611
"346",27,0,0,36,102.449781659389,1,9,"2",12,25.5560799318088
"347",25,0,0,33.540668241647,102.449781659389,0,8,"2",11,10.3417616819713
"348",27,0,0,50,122,1,4,"2",17,59.2662402423868
"349",26,0,0,33,98,0,6,"2",14,31.0750037377985
"350",34,0,0,44,102.449781659389,1,11,"2",17,23.9153154700255
"351",27,0,0,18,101,1,8,"2",13,35.500074138995
"352",27,0,0,30,102.449781659389,1,10,"2",11,31.0750037377985
"353",30,0,0,39,112,1,12,"2",12,27.4951644103322
"354",34,0,0,32,88,1,16,"2",12,28.7878770699831
"355",28,0,0,52,102.449781659389,0,4,"2",18,41.8145126446958
"356",33,0,0,48,136,1,9,"2",18,95.6115549829222
"357",26,0,0,50,124,1,4,"2",16,40.0743237307263
"358",29,1,0,31,96,1,11,"2",12,17.1036772838037
"359",32,0,0,39,97,1,14,"2",12,47.8306310311519
"360",32,0,0,40,102.449781659389,1,14,"2",12,29.8320025562927
"361",34,0,0,49,107,1,10,"2",18,41.6156398199139
"362",24,0,0,41,102.449781659389,0,2,"2",16,31.0750037377985
"363",28,0,0,41,111,1,6,"2",16,27.9923594832748
"364",28,0,0,43,102,1,6,"2",16,70.1052122159076
"365",25,0,0,30,115,1,7,"2",12,23.8656014182883
"366",24,0,0,32,94,0,6,"2",12,29.8320025562927
"367",28,0,0,30,102.449781659389,1,13,"2",9,14.9160012497365
"368",25,0,0,20,102.449781659389,1,10,"2",9,25.1085980954804
"369",25,1,0,31,92,0,5,"2",14,20.733241619213
"370",24,1,0,27,102.449781659389,1,6,"2",12,14.9160012497365
"371",27,0,0,37,102.449781659389,0,3,"2",18,43.0078059283465
"372",25,0,0,33,116,0,3,"2",16,14.9160012497365
"373",32,0,0,41,101,1,14,"2",12,35.8481280676297
"374",34,0,0,32,99,1,16,"2",12,42.5603134273451
"375",30,0,0,42,106,1,14,"2",10,36.6933600061497
"376",31,1,0,40,102.449781659389,1,8,"2",17,52.6037618096654
"377",32,1,0,25,102.449781659389,0,14,"2",12,26.3018808547367
"378",34,0,0,30,122,1,17,"2",11,28.4398463188273
"379",32,0,0,32,88,1,14,"2",12,40.0245949658377
"380",30,0,0,28,59,0,14,"2",10,19.8880013476145
"381",29,0,0,48,126,1,5,"2",18,47.8306310311519
"382",27,0,0,40,126,0,3,"2",18,40.6212314954588
"383",28,0,0,47,102.449781659389,1,9,"2",13,36.7928061179005
"384",30,0,0,54,105,1,6,"2",18,35.8481280676297
"385",24,0,0,29,123,0,0,"2",18,45.3943538209815
"386",27,0,0,30,119,0,4,"2",17,18.8438806508977
"387",26,0,0,35,108,0,6,"2",14,17.4019980849123
"388",33,0,0,36,93,0,16,"2",11,34.50567741809
"389",32,0,1,38,82,0,14,"2",12,50.4160726867393
"390",34,0,0,49,123,1,10,"2",18,56.4819304089548
"391",30,0,0,45,134,1,6,"2",18,84.9714726917171
"392",26,0,0,29,84,1,8,"2",12,26.3018808547367
"393",32,1,0,38,101,0,9,"2",17,33.4615641236735
"394",28,0,0,45,125,0,5,"2",17,50.2171962866072
"395",28,0,0,43,117,1,4,"2",18,42.0631268989574
"396",27,0,0,36,98,1,10,"2",11,35.3012073654217
"397",26,0,0,41,118,1,4,"2",16,40.7703996931967
"398",24,0,0,33.540668241647,102.449781659389,0,6,"2",12,22.2248404047126
"399",25,0,0,26,129,1,4,"2",15,24.8600023373785
"400",31,0,0,44,96,1,9,"2",16,52.1562812463997
"401",29,0,0,40,124,1,5,"2",18,59.7634354359653
"402",33,0,0,27,102.449781659389,1,15,"2",12,34.3068023348559
"403",28,0,0,42,122,1,6,"2",16,32.2185627401988
"404",30,0,0,37,85,1,11,"2",13,43.5049964376483
"405",25,0,0,39,112,1,2,"2",17,27.2465622012171
"406",28,0,0,30,102.449781659389,1,15,"2",7,29.8320025562927
"407",34,0,0,45,111,1,13,"2",15,111.571688061626
"408",31,0,0,42,90,1,13,"2",12,71.6962562718153
"409",34,1,0,38,102.449781659389,1,16,"2",12,15.9104006602611
"410",33,0,0,43,101,1,9,"2",18,62.7466286230771
"411",24,0,0,18,100,1,6,"2",12,29.8320025562927
"412",26,1,0,25,95,0,9,"2",11,14.9160012497365
"413",24,0,0,44,120,0,2,"2",16,26.7493580209154
"414",33,0,0,44,102.449781659389,1,15,"2",12,36.9916785839
"415",33,0,0,36,101,1,15,"2",12,42.0631268989574
"416",29,0,0,44,102.449781659389,1,7,"2",16,40.4223667876428
"417",28,0,0,34,90,1,10,"2",12,49.7200047694565
"418",26,0,0,34,122,1,4,"2",16,27.8929219091537
"419",26,0,0,41,140,0,2,"2",18,14.1702000717664
"420",27,0,0,37,106,1,5,"2",16,21.7276393787703
"421",25,0,0,27,93,0,6,"2",13,16.1590034767987
"422",28,0,0,30,119,1,6,"2",16,28.8375984407085
"423",26,1,0,33,95,0,4,"2",16,29.2353645691475
"424",29,0,0,44,115,1,5,"2",18,39.8257265162411
"425",25,0,0,32,119,0,5,"2",14,15.5126428010899
"426",29,1,0,19,67,0,11,"2",12,12.4300011450144
"427",27,1,0,34,97,0,6,"2",15,24.8600023373785
"428",33,1,0,28,111,1,15,"2",12,37.2900041746565
"429",31,0,1,41,101,1,12,"2",13,17.0539593272025
"430",28,0,0,32,112,0,7,"2",15,12.4300011450144
"431",24,0,0,26,107,1,2,"2",16,34.8039962361142
"432",25,0,0,22,93,0,7,"2",12,19.8880013476145
"433",27,0,0,37,122,1,4,"2",17,27.5946050306228
"434",28,0,0,38,106,1,7,"2",15,34.7542774582142
"435",24,0,0,31,102.449781659389,1,4,"2",14,95.6115549829222
"436",32,0,0,49,127,0,8,"2",18,60.4595179799059
"437",29,0,0,35,113,1,7,"2",16,30.5778002599
"438",25,0,0,36,115,0,5,"2",14,37.0414010537023
"439",24,0,0,37,102.449781659389,0,2,"2",16,22.7717603995527
"440",25,0,0,45,118,0,1,"2",18,32.1688403649963
"441",25,0,0,37,106,1,7,"2",12,37.0414010537023
"442",25,0,1,40,118,1,3,"2",16,40.5217930814713
"443",31,0,0,46,126,1,9,"2",16,43.0078059283465
"444",28,0,0,40,95,1,10,"2",12,26.9482440419284
"445",27,0,0,35,107,1,8,"2",13,18.1478040251086
"446",24,0,0,32,100,1,8,"2",10,20.733241619213
"447",27,0,0,40,102,0,5,"2",16,32.6660475587043
"448",26,0,0,43,113,0,5,"2",15,26.3018808547367
"449",29,0,0,46,96,1,6,"2",17,42.311726289566
